Row.names,summaryGroups,summaryGroupsExtended,CONSENSUS_CRG,CONSENSUS2_CRG,PR2_L1,PR2_L2,PR2_L3,PR2_L4,PR2_L5,PR2_L6,PR2_L7,PR2_L8,perc_id_PR2,al_length_PR2,summary_type,summaryGroups_metazoan
ASV_4092,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,,,,,,,95.065,385,heterotroph - saprotroph - parasite ,
ASV_4500,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,,,,,,,91.429,385,heterotroph - saprotroph - parasite ,
ASV_8114,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,,,,,,,96.382,387,heterotroph - saprotroph - parasite ,
ASV_20002,NA,NA,NA,NA,Eukaryota,,,,,,,,94.203,69,,
ASV_19563,NA,NA,NA,NA,Eukaryota,,,,,,,,81.522,92,,
ASV_19455,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_19465,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_19869,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_19992,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_19993,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_20019,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_20096,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_7385,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_7437,NA,NA,NA,NA,NA,,,,,,,,NA,NA,,
ASV_15496,Apicomplexa,Apicomplexa,Apicomplexa,Alveolata,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lecudina,Lecudina_tuzetae,98.108,370,heterotroph - saprotroph - parasite ,
